trade_id,symbol,entry_time,exit_time,entry_price,exit_price,size,status,pnl,pnlcomm,duration,equity,equity_pct,roll_max_pct,drawdown_pct,return_pct,duration_hours
1,MSFT,2020-10-06,2022-08-15,202.4202117919922,202.4202117919922,444.6196316229743,closed,36810.50408452224,36593.69358043771,678.0,136593.6935804377,136.5936935804377,136.5936935804377,0.0,36.593693580437716,16272.0
2,MSFT,2023-03-17,2024-01-22,271.8759765625,271.8759765625,452.1706028488814,closed,55636.48235176207,55334.97722096552,311.0,191928.67080140323,191.92867080140323,191.92867080140323,0.0,55.33497722096552,7464.0
3,MSFT,2024-03-22,2024-04-22,426.1167602539063,426.1167602539063,405.3720009002613,closed,-12169.597029712146,-12502.89904012496,31.0,179425.77176127827,179.42577176127827,191.92867080140323,-12.502899040124959,-12.502899040124959,744.0
4,MSFT,2024-05-13,2025-03-11,411.59759521484375,411.59759521484375,392.33269694119633,closed,-12333.995079220049,-12644.62747331113,302.0,166781.14428796712,166.78114428796712,191.92867080140323,-25.147526513436105,-12.644627473311129,7248.0
5,PLTR,2021-03-17,2021-05-07,25.61000061035156,25.61000061035156,3514.2521614631282,closed,-19398.673539973428,-19559.274866433454,51.0,80440.72513356655,80.44072513356654,80.44072513356654,0.0,-19.559274866433455,1224.0
6,PLTR,2021-09-27,2021-09-30,28.559999465942383,28.559999465942383,2534.8968478288116,closed,-10240.98075106374,-10375.533075553096,3.0,70065.19205801345,70.06519205801345,80.44072513356654,-10.375533075553093,-10.375533075553097,72.0
7,PLTR,2021-10-22,2021-11-11,24.780000686645508,24.780000686645508,2544.7405611330682,closed,-5751.114250605626,-5871.4804820594445,20.0,64193.711575954,64.193711575954,80.44072513356654,-16.247013557612547,-5.871480482059444,480.0
8,PLTR,2023-03-29,2023-05-03,8.0,8.0,7221.792552294825,closed,-2960.9338444827863,-3073.5215914750206,35.0,61120.18998447898,61.120189984478976,80.44072513356654,-19.32053514908757,-3.0735215914750205,840.0
9,PLTR,2023-05-15,,9.5,,5790.333788003271,open,0.0,0.0,0.0,61120.18998447898,61.120189984478976,80.44072513356654,-19.32053514908757,0.0,0.0
10,TSLA,2020-09-29,2020-11-27,140.39999389648438,140.39999389648438,641.0256688925227,closed,32649.574721010857,32436.925146289846,59.0,132436.92514628984,132.43692514628984,132.43692514628984,0.0,32.436925146289845,1416.0
11,TSLA,2021-01-12,2021-03-04,270.39666748046875,270.39666748046875,440.80880782404773,closed,-23214.45974778262,-23429.63175329816,51.0,109007.29339299169,109.00729339299168,132.43692514628984,-23.429631753298153,-23.429631753298157,1224.0
12,TSLA,2021-04-07,2021-05-13,230.5399932861328,230.5399932861328,425.5511707763797,closed,-14430.435266046417,-14612.217958887755,36.0,94395.07543410393,94.39507543410393,132.43692514628984,-38.04184971218591,-14.612217958887754,864.0
13,TSLA,2021-08-05,2022-10-17,236.97332763671875,236.97332763671875,358.50265824401487,closed,-11466.106007939008,-11624.551037712456,438.0,82770.52439639147,82.77052439639147,132.43692514628984,-49.66640074989837,-11.624551037712456,10512.0
14,TSLA,2023-03-29,2023-04-21,189.19000244140625,189.19000244140625,393.7495163351648,closed,-10316.236126353155,-10454.906834140307,23.0,72315.61756225117,72.31561756225116,132.43692514628984,-60.121307584038675,-10.454906834140306,552.0
15,TSLA,2023-07-19,2023-07-21,293.3399963378906,293.3399963378906,221.87242318997463,closed,-6753.797103583548,-6877.211418092017,2.0,65438.406144159155,65.43840614415916,132.43692514628984,-66.99851900213068,-6.877211418092018,48.0
16,TSLA,2023-09-01,2023-10-23,258.0799865722656,258.0799865722656,228.20276113604044,closed,-10517.86094295883,-10625.132213075358,52.0,54813.27393108379,54.81327393108379,132.43692514628984,-77.62365121520605,-10.625132213075359,1248.0
17,TSLA,2023-12-21,2024-01-12,247.13999938964844,247.13999938964844,199.61134037310237,closed,-3976.2575347329184,-4070.945170274136,22.0,50742.32876080966,50.74232876080966,132.43692514628984,-81.69459638548017,-4.070945170274136,528.0
18,TSLA,2024-08-23,2024-09-24,210.66000366210932,210.66000366210932,216.78579270310183,closed,8528.352291046755,8428.487746986251,32.0,59170.81650779591,59.17081650779591,132.43692514628984,-73.26610863849393,8.428487746986251,768.0
19,TSLA,2024-10-31,,257.54998779296875,,206.7704809981365,open,0.0,0.0,0.0,59170.81650779591,59.17081650779591,132.43692514628984,-73.26610863849393,0.0,0.0
